name,z_points,r_points
DoubleConic_PrimaryLV_0_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,47 46.9884 46.9769 46.9653 46.9538 46.9422 46.9307 46.9191 46.9075 46.896 46.8844 46.8729 46.8613 46.8498 46.8382 46.8266 46.8151 46.8035 46.792 46.7804 46.7689 46.7573 46.7457 46.7342 46.7226 46.7111 46.6995 46.688 46.6764 46.6648 46.6533 46.6417 46.6302 46.6186 46.6071 46.5955 46.5839 46.5724 46.5608 46.5493 46.5377 46.5261 46.5146 46.503 46.4915 46.4799 46.4684 46.4568 46.4452 46.4337 46.4221 46.4106 46.399 46.3875 46.3759 46.3643 46.3528 46.3412 46.3297 46.3181 46.3066 46.295 46.2834 46.2719 46.2603 46.2488 46.2372 46.2257 46.2141 46.2025 46.191 46.1794 46.1679 46.1563 46.1448 46.1332 46.1216 46.1101 46.0985 46.087 46.0754 46.0639 46.0523 46.0407 46.0292 46.0176 46.0061 45.9945 45.983 45.9714 45.9598 45.9483 45.9367 45.9252 45.9136 45.9021 45.8905 45.8789 45.8674 45.8558 45.8443 45.8327 45.8212 45.8096 45.798 45.7865 45.7749 45.7634 45.7518 45.7402 45.7287 45.7171 45.7056 45.694 45.6825 45.6709 45.6593 45.6478 45.6362 45.6247 45.6131 45.6016 45.59 45.5784 45.5669 45.5553
DoubleConic_SecondaryLV_0_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,45.5553 45.5206 45.4859 45.4513 45.4166 45.3819 45.3472 45.3125 45.2778 45.2431 45.2084 45.1737 45.139 45.1043 45.0697 45.035 45.0003 44.9656 44.9309 44.8962 44.8615 44.8268 44.7921 44.7574 44.7227 44.688 44.6534 44.6187 44.584 44.5493 44.5146 44.4799 44.4452 44.4105 44.3758 44.3411 44.3064 44.2718 44.2371 44.2024 44.1677 44.133 44.0983 44.0636 44.0289 43.9942 43.9595 43.9248 43.8901 43.8555 43.8208 43.7861 43.7514 43.7167 43.682 43.6473 43.6126 43.5779 43.5432 43.5085 43.4739 43.4392 43.4045 43.3698 43.3351 43.3004 43.2657 43.231 43.1963 43.1616 43.1269 43.0922 43.0576 43.0229 42.9882 42.9535 42.9188 42.8841 42.8494 42.8147 42.78 42.7453 42.7106 42.676 42.6413 42.6066 42.5719 42.5372 42.5025 42.4678 42.4331 42.3984 42.3637 42.329 42.2943 42.2597 42.225 42.1903 42.1556 42.1209 42.0862 42.0515 42.0168 41.9821 41.9474 41.9127 41.8781 41.8434 41.8087 41.774 41.7393 41.7046 41.6699 41.6352 41.6005 41.5658 41.5311 41.4964 41.4618 41.4271 41.3924 41.3577 41.323 41.2883 41.2536 41.2189
DoubleConic_PrimaryLV_1_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,45.6726 45.6614 45.6502 45.6389 45.6277 45.6165 45.6053 45.594 45.5828 45.5716 45.5603 45.5491 45.5379 45.5266 45.5154 45.5042 45.4929 45.4817 45.4705 45.4592 45.448 45.4368 45.4255 45.4143 45.4031 45.3919 45.3806 45.3694 45.3582 45.3469 45.3357 45.3245 45.3132 45.302 45.2908 45.2795 45.2683 45.2571 45.2458 45.2346 45.2234 45.2121 45.2009 45.1897 45.1785 45.1672 45.156 45.1448 45.1335 45.1223 45.1111 45.0998 45.0886 45.0774 45.0661 45.0549 45.0437 45.0324 45.0212 45.01 44.9987 44.9875 44.9763 44.9651 44.9538 44.9426 44.9314 44.9201 44.9089 44.8977 44.8864 44.8752 44.864 44.8527 44.8415 44.8303 44.819 44.8078 44.7966 44.7853 44.7741 44.7629 44.7517 44.7404 44.7292 44.718 44.7067 44.6955 44.6843 44.673 44.6618 44.6506 44.6393 44.6281 44.6169 44.6056 44.5944 44.5832 44.5719 44.5607 44.5495 44.5383 44.527 44.5158 44.5046 44.4933 44.4821 44.4709 44.4596 44.4484 44.4372 44.4259 44.4147 44.4035 44.3922 44.381 44.3698 44.3585 44.3473 44.3361 44.3249 44.3136 44.3024 44.2912 44.2799 44.2687
DoubleConic_SecondaryLV_1_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,44.2687 44.235 44.2013 44.1676 44.1338 44.1001 44.0664 44.0327 43.999 43.9653 43.9316 43.8979 43.8641 43.8304 43.7967 43.763 43.7293 43.6956 43.6619 43.6282 43.5944 43.5607 43.527 43.4933 43.4596 43.4259 43.3922 43.3585 43.3247 43.291 43.2573 43.2236 43.1899 43.1562 43.1225 43.0888 43.055 43.0213 42.9876 42.9539 42.9202 42.8865 42.8528 42.8191 42.7853 42.7516 42.7179 42.6842 42.6505 42.6168 42.5831 42.5494 42.5156 42.4819 42.4482 42.4145 42.3808 42.3471 42.3134 42.2797 42.2459 42.2122 42.1785 42.1448 42.1111 42.0774 42.0437 42.01 41.9762 41.9425 41.9088 41.8751 41.8414 41.8077 41.774 41.7403 41.7065 41.6728 41.6391 41.6054 41.5717 41.538 41.5043 41.4706 41.4368 41.4031 41.3694 41.3357 41.302 41.2683 41.2346 41.2009 41.1671 41.1334 41.0997 41.066 41.0323 40.9986 40.9649 40.9312 40.8974 40.8637 40.83 40.7963 40.7626 40.7289 40.6952 40.6615 40.6277 40.594 40.5603 40.5266 40.4929 40.4592 40.4255 40.3918 40.358 40.3243 40.2906 40.2569 40.2232 40.1895 40.1558 40.1221 40.0883 40.0546
DoubleConic_PrimaryLV_2_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,44.3453 44.3344 44.3235 44.3126 44.3017 44.2907 44.2798 44.2689 44.258 44.2471 44.2362 44.2253 44.2144 44.2035 44.1926 44.1817 44.1708 44.1599 44.149 44.1381 44.1272 44.1163 44.1053 44.0944 44.0835 44.0726 44.0617 44.0508 44.0399 44.029 44.0181 44.0072 43.9963 43.9854 43.9745 43.9636 43.9527 43.9418 43.9309 43.92 43.909 43.8981 43.8872 43.8763 43.8654 43.8545 43.8436 43.8327 43.8218 43.8109 43.8 43.7891 43.7782 43.7673 43.7564 43.7455 43.7346 43.7236 43.7127 43.7018 43.6909 43.68 43.6691 43.6582 43.6473 43.6364 43.6255 43.6146 43.6037 43.5928 43.5819 43.571 43.5601 43.5492 43.5382 43.5273 43.5164 43.5055 43.4946 43.4837 43.4728 43.4619 43.451 43.4401 43.4292 43.4183 43.4074 43.3965 43.3856 43.3747 43.3638 43.3529 43.3419 43.331 43.3201 43.3092 43.2983 43.2874 43.2765 43.2656 43.2547 43.2438 43.2329 43.222 43.2111 43.2002 43.1893 43.1784 43.1675 43.1565 43.1456 43.1347 43.1238 43.1129 43.102 43.0911 43.0802 43.0693 43.0584 43.0475 43.0366 43.0257 43.0148 43.0039 42.993 42.9821
DoubleConic_SecondaryLV_2_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,42.9821 42.9493 42.9166 42.8839 42.8511 42.8184 42.7857 42.7529 42.7202 42.6875 42.6547 42.622 42.5893 42.5565 42.5238 42.4911 42.4583 42.4256 42.3929 42.3601 42.3274 42.2947 42.2619 42.2292 42.1965 42.1637 42.131 42.0982 42.0655 42.0328 42 41.9673 41.9346 41.9018 41.8691 41.8364 41.8036 41.7709 41.7382 41.7054 41.6727 41.64 41.6072 41.5745 41.5418 41.509 41.4763 41.4436 41.4108 41.3781 41.3454 41.3126 41.2799 41.2472 41.2144 41.1817 41.149 41.1162 41.0835 41.0508 41.018 40.9853 40.9526 40.9198 40.8871 40.8544 40.8216 40.7889 40.7562 40.7234 40.6907 40.658 40.6252 40.5925 40.5598 40.527 40.4943 40.4616 40.4288 40.3961 40.3634 40.3306 40.2979 40.2652 40.2324 40.1997 40.167 40.1342 40.1015 40.0688 40.036 40.0033 39.9706 39.9378 39.9051 39.8724 39.8396 39.8069 39.7742 39.7414 39.7087 39.676 39.6432 39.6105 39.5778 39.545 39.5123 39.4796 39.4468 39.4141 39.3814 39.3486 39.3159 39.2832 39.2504 39.2177 39.185 39.1522 39.1195 39.0868 39.054 39.0213 38.9886 38.9558 38.9231 38.8904
DoubleConic_PrimaryLV_3_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,43.0179 43.0073 42.9968 42.9862 42.9756 42.965 42.9544 42.9439 42.9333 42.9227 42.9121 42.9015 42.891 42.8804 42.8698 42.8592 42.8486 42.8381 42.8275 42.8169 42.8063 42.7957 42.7852 42.7746 42.764 42.7534 42.7428 42.7323 42.7217 42.7111 42.7005 42.6899 42.6794 42.6688 42.6582 42.6476 42.637 42.6265 42.6159 42.6053 42.5947 42.5841 42.5736 42.563 42.5524 42.5418 42.5312 42.5207 42.5101 42.4995 42.4889 42.4783 42.4678 42.4572 42.4466 42.436 42.4254 42.4149 42.4043 42.3937 42.3831 42.3725 42.362 42.3514 42.3408 42.3302 42.3196 42.3091 42.2985 42.2879 42.2773 42.2667 42.2562 42.2456 42.235 42.2244 42.2138 42.2033 42.1927 42.1821 42.1715 42.1609 42.1504 42.1398 42.1292 42.1186 42.108 42.0975 42.0869 42.0763 42.0657 42.0551 42.0446 42.034 42.0234 42.0128 42.0022 41.9917 41.9811 41.9705 41.9599 41.9493 41.9388 41.9282 41.9176 41.907 41.8964 41.8859 41.8753 41.8647 41.8541 41.8435 41.833 41.8224 41.8118 41.8012 41.7906 41.7801 41.7695 41.7589 41.7483 41.7377 41.7272 41.7166 41.706 41.6954
DoubleConic_SecondaryLV_3_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,41.6954 41.6637 41.6319 41.6002 41.5684 41.5366 41.5049 41.4731 41.4414 41.4096 41.3779 41.3461 41.3144 41.2826 41.2509 41.2191 41.1873 41.1556 41.1238 41.0921 41.0603 41.0286 40.9968 40.9651 40.9333 40.9016 40.8698 40.838 40.8063 40.7745 40.7428 40.711 40.6793 40.6475 40.6158 40.584 40.5523 40.5205 40.4888 40.457 40.4252 40.3935 40.3617 40.33 40.2982 40.2665 40.2347 40.203 40.1712 40.1395 40.1077 40.0759 40.0442 40.0124 39.9807 39.9489 39.9172 39.8854 39.8537 39.8219 39.7902 39.7584 39.7266 39.6949 39.6631 39.6314 39.5996 39.5679 39.5361 39.5044 39.4726 39.4409 39.4091 39.3773 39.3456 39.3138 39.2821 39.2503 39.2186 39.1868 39.1551 39.1233 39.0916 39.0598 39.028 38.9963 38.9645 38.9328 38.901 38.8693 38.8375 38.8058 38.774 38.7423 38.7105 38.6787 38.647 38.6152 38.5835 38.5517 38.52 38.4882 38.4565 38.4247 38.393 38.3612 38.3294 38.2977 38.2659 38.2342 38.2024 38.1707 38.1389 38.1072 38.0754 38.0437 38.0119 37.9801 37.9484 37.9166 37.8849 37.8531 37.8214 37.7896 37.7579 37.7261
DoubleConic_PrimaryLV_4_Gold,900 899.2 898.4 897.6 896.8 896 895.2 894.4 893.6 892.8 892 891.2 890.4 889.6 888.8 888 887.2 886.4 885.6 884.8 884 883.2 882.4 881.6 880.8 880 879.2 878.4 877.6 876.8 876 875.2 874.4 873.6 872.8 872 871.2 870.4 869.6 868.8 868 867.2 866.4 865.6 864.8 864 863.2 862.4 861.6 860.8 860 859.2 858.4 857.6 856.8 856 855.2 854.4 853.6 852.8 852 851.2 850.4 849.6 848.8 848 847.2 846.4 845.6 844.8 844 843.2 842.4 841.6 840.8 840 839.2 838.4 837.6 836.8 836 835.2 834.4 833.6 832.8 832 831.2 830.4 829.6 828.8 828 827.2 826.4 825.6 824.8 824 823.2 822.4 821.6 820.8 820 819.2 818.4 817.6 816.8 816 815.2 814.4 813.6 812.8 812 811.2 810.4 809.6 808.8 808 807.2 806.4 805.6 804.8 804 803.2 802.4 801.6 800.8 800,41.6905 41.6803 41.67 41.6598 41.6495 41.6393 41.629 41.6188 41.6085 41.5983 41.588 41.5777 41.5675 41.5572 41.547 41.5367 41.5265 41.5162 41.506 41.4957 41.4855 41.4752 41.465 41.4547 41.4444 41.4342 41.4239 41.4137 41.4034 41.3932 41.3829 41.3727 41.3624 41.3522 41.3419 41.3317 41.3214 41.3111 41.3009 41.2906 41.2804 41.2701 41.2599 41.2496 41.2394 41.2291 41.2189 41.2086 41.1983 41.1881 41.1778 41.1676 41.1573 41.1471 41.1368 41.1266 41.1163 41.1061 41.0958 41.0856 41.0753 41.065 41.0548 41.0445 41.0343 41.024 41.0138 41.0035 40.9933 40.983 40.9728 40.9625 40.9523 40.942 40.9317 40.9215 40.9112 40.901 40.8907 40.8805 40.8702 40.86 40.8497 40.8395 40.8292 40.819 40.8087 40.7984 40.7882 40.7779 40.7677 40.7574 40.7472 40.7369 40.7267 40.7164 40.7062 40.6959 40.6856 40.6754 40.6651 40.6549 40.6446 40.6344 40.6241 40.6139 40.6036 40.5934 40.5831 40.5729 40.5626 40.5523 40.5421 40.5318 40.5216 40.5113 40.5011 40.4908 40.4806 40.4703 40.4601 40.4498 40.4396 40.4293 40.419 40.4088
DoubleConic_SecondaryLV_4_Gold,800 799.2 798.4 797.6 796.8 796 795.2 794.4 793.6 792.8 792 791.2 790.4 789.6 788.8 788 787.2 786.4 785.6 784.8 784 783.2 782.4 781.6 780.8 780 779.2 778.4 777.6 776.8 776 775.2 774.4 773.6 772.8 772 771.2 770.4 769.6 768.8 768 767.2 766.4 765.6 764.8 764 763.2 762.4 761.6 760.8 760 759.2 758.4 757.6 756.8 756 755.2 754.4 753.6 752.8 752 751.2 750.4 749.6 748.8 748 747.2 746.4 745.6 744.8 744 743.2 742.4 741.6 740.8 740 739.2 738.4 737.6 736.8 736 735.2 734.4 733.6 732.8 732 731.2 730.4 729.6 728.8 728 727.2 726.4 725.6 724.8 724 723.2 722.4 721.6 720.8 720 719.2 718.4 717.6 716.8 716 715.2 714.4 713.6 712.8 712 711.2 710.4 709.6 708.8 708 707.2 706.4 705.6 704.8 704 703.2 702.4 701.6 700.8 700,40.4088 40.378 40.3472 40.3165 40.2857 40.2549 40.2241 40.1934 40.1626 40.1318 40.101 40.0703 40.0395 40.0087 39.9779 39.9472 39.9164 39.8856 39.8548 39.8241 39.7933 39.7625 39.7317 39.701 39.6702 39.6394 39.6086 39.5779 39.5471 39.5163 39.4855 39.4548 39.424 39.3932 39.3624 39.3317 39.3009 39.2701 39.2393 39.2085 39.1778 39.147 39.1162 39.0854 39.0547 39.0239 38.9931 38.9623 38.9316 38.9008 38.87 38.8392 38.8085 38.7777 38.7469 38.7161 38.6854 38.6546 38.6238 38.593 38.5623 38.5315 38.5007 38.4699 38.4392 38.4084 38.3776 38.3468 38.3161 38.2853 38.2545 38.2237 38.193 38.1622 38.1314 38.1006 38.0699 38.0391 38.0083 37.9775 37.9468 37.916 37.8852 37.8544 37.8237 37.7929 37.7621 37.7313 37.7006 37.6698 37.639 37.6082 37.5775 37.5467 37.5159 37.4851 37.4543 37.4236 37.3928 37.362 37.3312 37.3005 37.2697 37.2389 37.2081 37.1774 37.1466 37.1158 37.085 37.0543 37.0235 36.9927 36.9619 36.9312 36.9004 36.8696 36.8388 36.8081 36.7773 36.7465 36.7157 36.685 36.6542 36.6234 36.5926 36.5619
